AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L),"Agriculture, electricity, water, mining (A,B,D,E)"
E07000099,North Hertfordshire,Bus,5.462113329,0.5240753,0.361366001,0.083246618,0.14757355,0.291363163,0.149465519,0.085138587,0.02648756,0.037839372,0.075678744,0.122977959,0.037839372,0.041623309,0.064326932,0.077570712,0.028379529,0.030271497,0.013243781
E07000147,North Norfolk,Bus,2.392296755,0.444034226,0.236984559,0.042407763,0.107266695,0.05238606,0.209544241,0.059869783,0.054880635,0.014967446,0.044902337,0.06984808,0.042407763,0.077331803,0.064858932,0.042407763,0.122234141,0.009978297,0.027440318
E07000148,Norwich,Bus,10.99669776,2.640680084,0.716230086,0.496452318,0.770895622,1.307510375,0.764201883,0.363693159,0.624748985,0.333571333,0.109331072,0.174037217,0.186309072,0.239858985,0.282252666,0.17849971,0.092596725,0.109331072,0.015618724
E07000075,Rochford,Bus,7.564809297,0.636918951,0.476758045,0.085667461,0.242103695,0.204856973,0.305423123,0.145262217,0.305423123,0.055870083,0.115464839,0.335220501,0.104290822,0.111740167,0.160160906,0.10056615,0.022348033,0.037246722,0.014898689
E07000012,South Cambridgeshire,Bus,3.73806822,0.256324678,0.280355116,0.679527401,0.229624191,0.038715707,0.114812095,0.093451705,0.056071023,0.157532875,0.05206595,0.158867899,0.033375609,0.04272078,0.050730926,0.046725853,0.013350244,0.024030439,0.013350243
E07000149,South Norfolk,Bus,4.025756083,0.32833534,1.796723943,0.162343585,0.138630477,0.147750903,0.211593886,0.120389625,0.089380176,0.03830579,0.056546642,0.093028346,0.040129875,0.036481704,0.056546641,0.049250301,0.051074386,0.012768597,0.04560213
E07000240,St Albans,Bus,8.629310623,1.125842769,0.603245266,0.185489855,0.267750573,0.101616181,0.354850156,0.396786993,0.098390271,0.077421852,0.096777315,0.083873673,0.108068002,0.088712539,0.127423465,0.1225846,0.051614568,0.020968418,0.024194328
E07000243,Stevenage,Bus,10.00798687,1.641744687,1.01832542,0.135333008,0.224075964,0.108710121,0.656697875,0.505834849,0.268447442,0.199671651,0.110928695,0.248480277,0.164174469,0.177485912,0.14198873,0.13089586,0.064338643,0.022185739,0.013311443
E07000076,Tendring,Bus,3.880957169,0.4423889,0.585383292,0.055857184,0.172040128,0.035748598,0.201085864,0.087137208,0.069262909,0.024577161,0.026811448,0.105011507,0.060325759,0.082668633,0.067028621,0.053622897,0.046920035,0.006702862,0.022342874
E07000102,Three Rivers,Bus,9.703919699,0.378511748,0.414961027,0.058879605,0.109347838,0.157012281,0.255144956,0.257948747,0.081309931,0.168227444,0.131778164,0.053272024,0.084113722,0.07570235,0.033645489,0.061683396,0.204676723,0.053272024,0.016822744
E07000077,Uttlesford,Bus,5.923447801,0.514119847,0.150054118,0.115615468,0.110695661,0.054117879,0.452622257,0.282888911,0.078716914,0.029518843,0.076257011,0.105775854,0.718291843,0.044278264,0.036898554,0.039358457,0.098396143,0.007379711,0.012299518
E07000103,Watford,Bus,14.26804044,1.985269954,1.206239972,0.21070538,0.218437687,0.152713073,0.400146914,0.438808451,0.220370764,0.137248458,0.170110765,0.168177688,0.282229224,0.12371692,0.152713074,0.177843073,0.071523845,0.038661538,0.032862307
E07000241,Welwyn Hatfield,Bus,8.722569394,0.914111321,0.491207673,0.149687545,0.373492225,0.046504868,0.21363174,0.453422468,0.08138352,0.139514605,0.110449063,0.164220317,0.154047377,0.056677808,0.079930242,0.139514605,0.039238483,0.023252434,0.072663857
