AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L)
E30000209,Gloucester,1.538118198,0.415441162,1.427569532,3.892077021,0.861893059,1.421474595,1.009533115,0.67811139,0.835670525,0.788315929,0.938074391,1.197405928,0.762221576,0.822040117,0.968660702,0.829364626,1.239897636,0.841949107,0.735240108
E30000210,Great Yarmouth,2.049769944,7.148093423,0.943703811,0.455449545,1.707147628,0.96193074,0.991961844,0.649027523,2.08780616,0.214424737,0.213069451,0.407582427,0.868927276,0.54814749,0.551900206,0.919999819,1.593495052,1.652036164,0.59262287
E30000211,Grimsby,1.620310656,1.219726409,2.050061018,0.987910215,1.368052221,1.144898145,1.084878967,1.773442776,0.789677996,0.176098833,0.320751843,0.926186921,0.634559349,0.632388138,0.680658317,1.044293013,1.089409032,0.777798498,0.988468681
E30000212,Guildford and Aldershot,1.549909997,0.586385128,0.703563138,0.559514884,0.580922835,1.077973835,1.060962287,0.481544621,1.016818163,1.628770458,0.738734931,0.754787162,1.468567145,0.903764831,0.626371955,1.06718111,0.918679807,1.240913964,1.277075724
E30000214,Harrogate,0.97618822,null,0.657075572,0.645584209,0.620591241,1.016563786,1.10119928,0.55384647,1.265595149,0.953434597,0.675099259,1.603124483,1.274212747,0.824871225,0.761073816,0.879298308,1.135033873,1.115734107,1.465993442
E30000215,Hartlepool,1.132165245,null,1.404697527,8.647996467,1.223718289,0.951744294,1.015697178,0.724625089,1.054646793,0.36318836,0.182583305,0.543139749,0.524032988,0.496792457,1.364398719,1.315588117,1.437101717,1.160912899,0.807807528
E30000216,Hereford,3.561692164,1.525249512,1.957663363,0.510976361,1.254572157,1.144612624,1.174541423,0.507235816,1.198873812,0.356959097,0.335882576,1.357832182,0.614269708,0.703523935,0.482794901,0.917655949,1.249712454,1.009061394,0.829480559
E30000218,High Wycombe and Aylesbury,1.573994959,0.184865365,0.84825989,0.120486203,1.041606209,1.169856861,1.256247942,0.463300945,0.830135056,1.378421278,0.60188125,0.942901052,1.101150756,1.09278359,0.749576511,1.031703915,0.981731835,0.79936681,1.166863769
E30000219,Huddersfield,0.160206285,0.551771118,1.932761662,0.222359014,0.657196592,1.012714758,1.292347305,0.668832831,0.739253555,0.365398549,0.303373351,1.446248109,0.62444241,0.5761153,0.835506324,1.27805034,1.172700522,0.86241322,1.113469024
E30000220,Hull,0.538261375,1.707993862,1.831434888,0.351786337,1.23498278,1.181160868,1.037733995,0.837327032,0.735732806,0.490167171,0.23266106,0.983596165,0.595773695,1.106134445,1.324504974,0.996761565,1.113072866,0.780825577,1.101465957
E30000221,Huntingdon,3.056451806,0.64872576,1.769099484,0.222901432,4.042484403,1.014444098,1.001214797,0.909466849,0.741219934,0.742340153,0.38643992,0.943543593,0.931300881,0.979831522,1.469503884,0.828083619,0.868494832,0.834005977,1.009444065
E30000222,Ipswich,2.044709929,0.248663083,0.783569275,2.76639211,1.064298692,1.133883329,1.006622461,1.774018571,0.920005269,0.977522936,1.123611568,0.684315206,0.710515977,0.790381907,1.206160539,0.977407626,1.029389929,1.304956587,0.937633425
E30000223,Kendal,1.243230403,0.665521722,1.063839445,0.903295253,1.048287758,1.093808899,1.316958011,0.63011307,2.537226226,0.285301425,0.306856112,1.115982074,0.675059129,0.42365952,0.486876708,0.873066836,0.90418975,1.580191775,1.252663976
E30000224,Kettering and Wellingborough,0.835679634,null,1.534506137,0.475331293,0.959347518,0.905487305,1.373111584,2.409680838,0.762958046,0.347298692,0.300159364,0.606330716,0.7650322,0.921646851,0.424150922,0.782896857,0.90649387,1.125455129,0.824209321
E30000225,King's Lynn,2.755972759,1.961055992,1.565443053,0.380659252,1.081705265,1.310067303,1.21249963,0.650427824,1.217581025,0.272652301,0.717168869,0.869415624,0.565541064,0.781100238,1.036656761,0.878955881,1.241444405,0.607899814,0.843817675
E30000226,Kingsbridge and Dartmouth,4.809083411,null,0.625997956,null,1.107558045,2.08998446,1.341926566,0.426870337,3.336979263,0.417110485,0.213471056,1.701730992,0.774298383,0.611394119,0.194477465,0.689106753,0.367885642,1.243169461,0.932387254
E30000227,Launceston,9.358830368,null,1.752986359,0.344187999,1.066297723,1.487953373,1.44666394,1.490243087,1.290892866,0.259564914,0.320711335,1.321080272,0.587557079,0.333877918,0.369845326,0.74727566,0.883634857,1.360590112,0.568139233
E30000228,Leamington Spa,1.914602279,null,1.447951175,5.774396149,0.619452767,0.705108973,1.043486079,0.651880295,1.249757518,1.027520505,0.733956113,1.08719515,1.100551879,0.789853099,0.83849177,0.735485002,0.859008137,1.283604373,1.402105399
E30000229,Leeds,0.211005211,0.242090214,0.723695941,1.871536716,1.083707345,0.963479636,0.844902531,0.883327898,0.792676442,1.215477172,1.554728692,1.143500957,1.143977458,1.307529018,0.77473557,1.063636032,0.991011416,0.99213298,1.01878789
E30000230,Leicester,0.983601232,3.661996177,1.66264326,3.084500996,0.744384951,0.890493152,1.078855019,0.990447279,0.744999485,0.529775846,0.615387955,0.74454765,0.969955492,0.867461782,1.06466085,1.259482235,0.831246989,0.983832143,1.055994206
